Sensor_ID,Sensor_Name
63,231 Bourke St
39,Alfred Place
16,Australia on Collins
7,Birrarung Marr
58,Bourke St - Spencer St (North)
73,Bourke St - Spencer St (South)
57,Bourke St Bridge
21,Bourke St-Russell St (West)
1,Bourke Street Mall (North)
2,Bourke Street Mall (South)
20,Chinatown-Lt Bourke St (South)
19,Chinatown-Swanston St (North)
32,City Square
18,Collins Place (North)
17,Collins Place (South)
53,Collins St (North)
84,Elizabeth St - Flinders St (East) - New footpath
55,Elizabeth St-La Trobe St (East)
52,Elizabeth St-Lonsdale St (South)
87,Errol St (West)
70,Errol Street (East)
50,Faraday St-Lygon St (West)
13,Flagstaff Station
60,Flinders La - Swanston St (West) Temp
41,Flinders La-Swanston St (West)
69,Flinders Ln - Degraves St (Crossing)
68,Flinders Ln - Degraves St (North)
67,Flinders Ln - Degraves St (South)
69,Flinders Ln -Degraves St (Crossing)
68,Flinders Ln -Degraves St (North)
67,Flinders Ln -Degraves St (South)
79,Flinders St (South)
72,Flinders St - ACMI
72,Flinders St-ACMI
22,Flinders St-Elizabeth St (East)
34,Flinders St-Spark La
33,Flinders St-Spring St (West)
38,Flinders St-Swanston St (West)
6,Flinders Street Station Underpass
60,Flinders la - Swanston St (West) Temp
42,Grattan St-Swanston St (West)
78,Harbour Esplanade (West) - Bike Path
77,Harbour Esplanade (West) - Ped Path
77,Harbour Esplanade (West) - Pedestrian Pa
62,La Trobe St (North)
54,Lincoln-Swanston (West)
54,Lincoln-Swanston(West)
45,Little Collins St-Swanston St (East)
30,Lonsdale St (South)
56,Lonsdale St - Elizabeth St (North)
40,Lonsdale St-Spring St (West)
37,Lygon St (East)
31,Lygon St (West)
85,Macaulay Rd (North)
76,Macaulay Rd - Bellair St
76,Macaulay Rd-Bellair St
3,Melbourne Central
47,Melbourne Central-Elizabeth St (East)
25,Melbourne Convention Exhibition Centre
43,Monash Rd-Swanston St (West)
12,New Quay
46,Pelham St (S)
46,Pelham St (South)
5,Princes Bridge
26,QV Market-Elizabeth St (West)
27,QV Market-Peel St
51,QVM-Franklin St (North)
48,QVM-Queen St (East)
49,QVM-Therry St (South)
36,Queen St (West)
86,Queensberry St - Errol St (South)
64,Royal Pde - Grattan St
64,Royal Pde-Grattan St
14,Sandridge Bridge
35,Southbank
9,Southern Cross Station
24,Spencer St-Collins St (North)
23,Spencer St-Collins St (South)
75,Spring St - Flinders St (West)
75,Spring St- Flinders St (West)
29,St Kilda Rd-Alexandra Gardens
15,State Library
66,State Library - New
66,State Library-New
65,Swanston St - City Square
61,Swanston St - RMIT Building 14
59,Swanston St - RMIT Building 80
28,The Arts Centre
44,Tin Alley-Swanston St (West)
4,Town Hall (West)
10,Victoria Point
11,Waterfront City
8,Webb Bridge
71,Westwood Place
